,City,Temperature,Humidity,Cloudiness,Snow,wind_speed,Date,Country,Longitude,Latitude
0,nikolskoye,22.89,98,99,0.65,2.64,1643766852,RU,30.7861,59.7035
1,chapais,19.18,90,100,0.57,18.57,1643766861,CA,-74.8492,49.7834
2,petrozavodsk,-0.94,92,100,0.32,2.24,1643766862,RU,34.3469,61.7849
3,kortkeros,24.8,96,100,0.11,6.67,1643766866,RU,51.5806,61.8106
4,vardo,28.74,63,100,0.1,10.87,1643766871,NO,31.1107,70.3705
5,great falls,0.45,81,100,0.51,10.36,1643766780,US,-111.3008,47.5002
6,gari,21.38,95,100,0.16,8.79,1643766879,RU,62.3497,59.4307
7,yokote,32.16,87,94,0.27,13.96,1643766886,JP,140.5667,39.3
8,lasa,34.25,94,100,0.12,9.28,1643766887,IT,10.7002,46.6166
9,sisimiut,6.75,89,100,0.24,11.36,1643766897,GL,-53.6735,66.9395
10,paamiut,4.78,91,100,0.25,11.12,1643766902,GL,-49.6678,61.994
11,pella,23.05,98,99,0.42,2.53,1643766911,RU,30.8181,59.7775
12,longyearbyen,16.81,94,100,0.22,5.5,1643766628,SJ,15.6401,78.2186
13,onega,11.46,94,98,0.35,5.46,1643766934,RU,38.1404,63.9061
14,kizukuri,30.72,81,100,0.18,17.36,1643766940,JP,140.3861,40.8061
15,sorland,28.58,59,100,0.13,16.33,1643766942,NO,12.6934,67.667
16,pudozh,13.89,96,100,0.24,3.44,1643766943,RU,36.5345,61.8099
17,zhangjiakou,14.94,42,0,0.2,4.12,1643766946,CN,114.8794,40.81
18,polunochnoye,13.17,97,100,0.12,1.39,1643766947,RU,60.4153,60.8697
19,esso,22.14,93,100,0.33,9.95,1643766951,RU,158.7,55.9333
20,dubna,19.67,94,100,0.1,7.92,1643766962,RU,37.1667,56.7333
